"BehaviorSpace results (NetLogo 6.2.0)"
"lab2_5.nlogo"
"experiment"
"04/16/2021 13:50:39:315 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","%-similar-wanted","[step]","percent-similar"
"130","30","3","65.89651806052717"
"128","30","9","70.79974201870365"
"131","30","3","65.59192313955381"
"130","30","4","68.28079298017549"
"128","30","10","71.01869761444229"
"131","30","4","67.73251095601364"
"128","30","11","71.08997097710416"
"132","30","0","48.98324385879291"
"130","30","5","69.10595489209801"
"131","30","5","69.62783171521035"
"130","30","6","69.9918896999189"
"131","30","6","70.39559014267186"
"132","30","1","58.64710676446617"
"133","30","0","50.730282375852"
"131","30","7","71.10499919106941"
"130","30","7","70.27421710206069"
"132","30","2","63.697068403908794"
"131","30","8","71.88358932902183"
"133","30","1","59.49243533430943"
"130","30","8","70.82860385925085"
"132","30","3","66.62310080052279"
"131","30","9","72.14227970897332"
"130","30","9","71.04153147306943"
"132","30","4","69.49788066514509"
"133","30","2","64.53081801919012"
